Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,86,true,,2023-03-03T19:27:10Z,"","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
spotify:track:2PIvq1pGrUjY007X5y1UpM,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]","The Weeknd",2014-12-23,252226,71,false,,2023-03-03T19:04:46Z,"","Fifty Shades of Grey",0.659,0.381,2,-5.922,0,0.0304,0.385,0,0.0972,0.426,119.844,3
spotify:track:2SLwbpExuoBDZBpjfefCtV,"Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,77,false,,2023-03-03T19:01:11Z,"","XO / Republic Records",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
spotify:track:7uJH0YdSZL6psjxI6Xy08b,"Acquainted","Beauty Behind The Madness","The Weeknd",2015-08-28,348853,74,true,,2023-02-20T02:56:30Z,"","The Weeknd/Lyric",0.372,0.478,7,-9.835,0,0.0503,0.482,0,0.0844,0.254,101.102,4
spotify:track:7DKS0rX27cCEPsK0R6tFWS,"Wasted Times","My Dear Melancholy,","The Weeknd",2018-03-30,220293,66,true,,2023-02-14T17:37:21Z,"","The Weeknd/Lyric",0.547,0.679,10,-6.167,0,0.0595,0.61,0.0000142,0.111,0.288,122.696,4
spotify:track:00NAQYOP4AmWR549nnYJZu,"Secrets","Starboy","The Weeknd",2016-11-25,265600,64,false,,2023-02-12T00:36:49Z,"","The Weeknd/Lyric",0.664,0.771,0,-5.779,1,0.0533,0.0155,0.0000096,0.46,0.763,109.949,4
spotify:track:4PhsKqMdgMEUSstTDAmMpg,"Often","Beauty Behind The Madness","The Weeknd",2015-08-28,249040,80,true,,2023-02-07T20:41:55Z,"","The Weeknd/Lyric",0.572,0.631,7,-9.836,0,0.0476,0.222,0,0.135,0.0713,134.078,4
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,"Moth To A Flame (with The Weeknd)","Paradise Again","Swedish House Mafia;The Weeknd",2022-04-15,234000,83,false,,2023-02-07T18:20:53Z,"edm","Republic Records",0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez;Em Beihold",2022-04-22,176440,78,false,,2023-02-06T17:04:40Z,"","Republic Records",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,"Snooze","SOS","SZA",2022-12-09,201800,87,true,,2023-02-02T19:42:45Z,"r&b","Top Dawg Entertainment/RCA Records",0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
